id,sk,cs,hu
28922,Kancelárske potreby,Kancelářské pomůcky,Irodai kellékek
28923,Nositelia Nobelovej ceny za literatúru,Nositelé Nobelovy ceny za literaturu,Irodalmi Nobel-díjasok
28924,Ceny za literatúru,Ceny za literaturu,Irodalmi díjak
28925,Literárne časopisy,Literární časopisy,Irodalmi folyóiratok
28926,Literárne žánre,Literární žánry,Irodalmi műfajok
28927,Literárne diela,Literární díla,Irodalmi művek
28928,Literárne postavy,Literární postavy,Irodalmi művek szereplői
28929,Literárne diela podľa autora,Literární díla podle spisovatelů,Irodalmi művek szerző szerint
28930,Literárne navigačné šablóny,Literární navigační šablony,Irodalmi navigációs sablonok
28931,Literárne šablóny,Literární,Irodalmi sablonok
28932,Autobiografie,Autobiografie,Irodalmi önéletrajzok
28933,Literárni vedci,Literární vědci,Irodalmárok
28934,Literatúra,Literatura,Irodalom
28935,Literatúra podľa štátu,Literatura podle zemí,Irodalom nemzetiség szerint
28936,Literatúra podľa jazyka,Literatura podle jazyka,Irodalom nyelv szerint
28937,Literatúra podľa storočia,Literatura podle století,Irodalom évszázadok szerint
28938,Literárni kritici,Literární kritici,Irodalomkritikusok
28939,Literárna veda,Literární věda,Irodalomtudomány
28940,Literárni historici,Literární historikové,Irodalomtörténészek
28941,Literárni historici podľa štátu,Literární historikové podle zemí,Irodalomtörténészek országok szerint
28942,Albumy Iron Maiden,Alba Iron Maiden,Iron Maiden-albumok
28943,Iracionálne čísla,Iracionální čísla,Irracionális számok
28944,Irán,Írán,Irán
28945,Prezidenti Iránu,Prezidenti Íránu,Irán elnökei
28946,Rieky v Iráne,Řeky v Íránu,Irán folyói
28947,Geografia Iránu,Geografie Íránu,Irán földrajza
28948,Vojsko v Iráne,Íránské vojenství,Irán hadereje
28949,Vrchy v Iráne,Hory a kopce v Íránu,"Irán hegyei, hegységei"
28950,Kultúra v Iráne,Íránská kultura,Irán kultúrája
28951,Šport v Iráne,Sport v Íránu,Irán sportélete
28952,Jazerá v Iráne,Jezera v Íránu,Irán tavai
28953,Mestá v Iráne,Města v Íránu,Irán települései
28954,Veda a technika v Iráne,Věda a technika v Íránu,Irán tudományos élete
28955,Dejiny Iránu,Dějiny Íránu,Irán történelme
28956,Lokality Svetového dedičstva v Iráne,Světové dědictví (Írán),Irán világörökségi helyszínei
28957,Stavby v Iráne,Stavby v Íránu,Irán építményei
28958,Futbal v Iráne,Fotbal v Íránu,Iráni labdarúgás
28959,Iránski futbalisti,Íránští fotbalisté,Iráni labdarúgók
28960,Iránske jazyky,Íránské jazyky,Iráni nyelvek
28961,Iránski strieborní olympijskí medailisti,Íránští stříbrní olympijští medailisté,Iráni olimpiai ezüstérmesek
28962,Iránski olympijskí medailisti,Íránští olympijští medailisté,Iráni olimpiai érmesek
28963,Iránski olympionici,Íránští olympionici,Iráni olimpikonok
28964,Archeologické lokality v Iráne,Archeologické lokality v Íránu,Iráni régészeti lelőhelyek
28965,Iránski športovci,Íránští sportovci,Iráni sportolók
28966,Iránski tenisti,Íránští tenisté,Iráni teniszezők
28967,Iránski vedci,Íránští vědci,Iráni tudósok
28968,Iránske osobnosti,Íránci,Irániak
28969,Šablóny Iránu,Írán,Iránnal kapcsolatos sablonok
28970,Diela Isaaca Asimova,Díla Isaaca Asimova,Isaac Asimov művei
28971,Prefektúra Išikawa,Prefektura Išikawa,Isikava prefektúra
28972,Albumy Island Records,Alba Island Records,Island Records-albumok
28973,Epistemológia,Epistemologie,Ismeretelmélet
28974,Opakovacie pušky,Opakovací pušky,Ismétlőpuskák
28975,Osobnosti zo Špačiniec,Lidé ze Špačinců,Ispácaiak
28976,Božstvá,Božstva,Istenek
28977,Božstvá podľa asociácie,Božstva podle asociace,Istenek funkció szerint
28978,Bohyne,Bohyně,Istennők
28979,Klopavkovité,Klapavkovití,Iszapteknősfélék
28980,Islamizmus,Islamismus,Iszlamizmus
28981,Islam,Islám,Iszlám
28982,Islamistické skupiny,Islamistické skupiny,Iszlám csoportok
28983,Islamský štát (militantná organizácia),Islámský stát,Iszlám Állam
28984,Islamská architektúra,Islámská architektura,Iszlám építészet
28985,Istanbul,Istanbul,Isztambul
28986,Doprava v Istanbule,Doprava v Istanbulu,Isztambul közlekedése
28987,Stavby v Istanbule,Stavby v Istanbulu,Isztambul építményei
28988,Isère (departement),Isère,Isère (megye)
28989,Obce v departemente Isère,Obce v departementu Isère,Isère megye települései
28990,Italické jazyky,Italické jazyky,Italikus nyelvek
28991,Nápoje,Nápoje,Italok
28992,Zlúčeniny ytria,Sloučeniny yttria,Ittriumvegyületek
28993,Juliovsko-klaudiovská dynastia,Julsko-klaudijská dynastie,Iulius-Claudius-dinasztia
28994,Ivanofrankivská oblasť,Ivanofrankivská oblast,Ivano-frankivszki terület
28995,Island,Island,Izland
28996,Prezidenti Islandu,Prezidenti Islandu,Izland elnökei
28997,Rieky na Islande,Řeky na Islandu,Izland folyói
28998,Geografia Islandu,Geografie Islandu,Izland földrajza
28999,Ekonomika na Islande,Ekonomika Islandu,Izland gazdasága
29000,Ľadovce na Islande,Ledovce na Islandu,Izland gleccserei
29001,Vrchy na Islande,Hory a kopce na Islandu,"Izland hegyei, hegységei"
29002,Doprava na Islande,Doprava na Islandu,Izland közlekedése
29003,Politika na Islande,Islandská politika,Izland politikai élete
29004,Šport na Islande,Sport na Islandu,Izland sportélete
29005,Ostrovy Islandu,Ostrovy Islandu,Izland szigetei
29006,Jazerá na Islande,Jezera na Islandu,Izland tavai
29007,Národné parky na Islande,Národní parky na Islandu,Izland természetvédelmi területei
29008,Dejiny Islandu,Dějiny Islandu,Izland történelme
29009,Lokality Svetového dedičstva na Islande,Světové dědictví (Island),Izland világörökségi helyszínei
29010,Sopky Islandu,Sopky na Islandu,Izland vulkánjai
29011,Vodopády na Islande,Vodopády na Islandu,Izland vízesései
29012,Šablóny Islandu,Island,Izlanddal kapcsolatos sablonok
29013,Islandské hudobné skupiny,Islandské hudební skupiny,Izlandi együttesek
29014,Literatúra na Islande,Islandská literatura,Izlandi irodalom
29015,Kultúra na Islande,Islandská kultura,Izlandi kultúra
29016,Islandskí spisovatelia,Islandští spisovatelé,"Izlandi költők, írók"
29017,Futbal na Islande,Fotbal na Islandu,Izlandi labdarúgás
29018,Islandské futbalové kluby,Islandské fotbalové kluby,Izlandi labdarúgócsapatok
29019,Islandskí futbalisti,Islandští fotbalisté,Izlandi labdarúgók
29020,Islandskí politici,Islandští politici,Izlandi politikusok
29021,Islandskí športovci,Islandští sportovci,Izlandi sportolók
29022,Islandské osobnosti,Islanďané,Izlandiak
29023,Násadcoplutvovce,Nozdratí,Izmosúszójú halak
29024,Izotopy,Izotopy,Izotópok
29025,Izrael na Olympijských hrách,Izrael na olympijských hrách,Izrael az olimpiai játékokon
29026,Rieky v Izraeli,Řeky v Izraeli,Izrael folyói
29027,Geografia Izraela,Geografie Izraele,Izrael földrajza
29028,Vojsko v Izraeli,Izraelské vojenství,Izrael hadereje
29029,Vojny Izraela,Války Izraele,Izrael háborúi
29030,Kultúra v Izraeli,Izraelská kultura,Izrael kultúrája
29031,Doprava v Izraeli,Doprava v Izraeli,Izrael közlekedése
29032,Ministri zahraničia Izraela,Ministři zahraničí Izraele,Izrael külügyminiszterei
29033,Predsedovia vlády Izraela,Premiéři Izraele,Izrael miniszterelnökei
29034,Národné parky v Izraeli,Národní parky v Izraeli,Izrael nemzeti parkjai
29035,Politika v Izraeli,Izraelská politika,Izrael politikai élete
29036,Letiská v Izraeli,Letiště v Izraeli,Izrael repülőterei
29037,Púšte Izraela,Pouště v Izraeli,Izrael sivatagai
29038,Šport v Izraeli,Sport v Izraeli,Izrael sportélete
29039,Jazerá v Izraeli,Jezera v Izraeli,Izrael tavai
29040,Sídla v Izraeli,Sídla v Izraeli,Izrael települései
29041,Dejiny Izraela,Dějiny Izraele,Izrael történelme
29042,Náboženstvo v Izraeli,Náboženství v Izraeli,Izrael vallási élete
29043,Železnica v Izraeli,Železniční doprava v Izraeli,Izrael vasúti közlekedése
29044,Lokality Svetového dedičstva v Izraeli,Světové dědictví (Izrael),Izrael világörökségi helyszínei
29045,Ministri obrany Izraela,Ministři obrany Izraele,Izrael védelmi miniszterei
29046,Prezidenti Izraela,Prezidenti Izraele,Izrael államfői
29047,Stavby v Izraeli,Stavby v Izraeli,Izrael építményei
29048,Kozmonautika v Izraeli,Izraelský kosmický program,Izrael űrkutatása
29049,Izraelské zbrane,Izraelské zbraně,Izraelben kifejlesztett fegyverek
29050,Izraelskí biochemici,Izraelští biochemici,Izraeli biokémikusok
29051,Izraelskí diplomati,Diplomaté Izraele,Izraeli diplomaták
29052,Izraelské hudobné skupiny,Izraelské hudební skupiny,Izraeli együttesek
29053,Izraelské tanky,Izraelské tanky,Izraeli harckocsik
29054,Izraelské vojenské osobnosti,Izraelští válečníci,Izraeli katonák
29055,Izraelskí spisovatelia,Izraelští spisovatelé,"Izraeli költők, írók"
29056,Veľvyslanci Izraela,Velvyslanci Izraele,Izraeli követek és nagykövetek külföldön
29057,Futbal v Izraeli,Fotbal v Izraeli,Izraeli labdarúgás
29058,Izraelské futbalové kluby,Izraelské fotbalové kluby,Izraeli labdarúgócsapatok
29059,Izraelskí futbalisti,Izraelští fotbalisté,Izraeli labdarúgók
29060,Izraelskí matematici,Izraelští matematici,Izraeli matematikusok
29061,Izraelskí olympionici,Izraelští olympionici,Izraeli olimpikonok
29062,Izraelskí politici,Izraelští politici,Izraeli politikusok
29063,Izraelskí psychológovia,Izraelští psychologové,Izraeli pszichológusok
29064,Politické strany v Izraeli,Politické strany v Izraeli,Izraeli pártok
29065,Denníky v Izraeli,Izraelské noviny,Izraeli sajtótermékek
29066,Izraelskí športovci,Izraelští sportovci,Izraeli sportolók
29067,Izraelskí herci,Izraelští herci,Izraeli színészek
29068,Izraelskí tenisti,Izraelští tenisté,Izraeli teniszezők
29069,Izraelskí vedci,Izraelští vědci,Izraeli tudósok
29070,Izraelskí historici,Izraelští historikové,Izraeli történészek
29071,Izraelskí hudobníci,Izraelští hudebníci,Izraeli zenészek
29072,Izraelskí kozmonauti,Izraelští kosmonauti,Izraeli űrhajósok
29073,Izraelsko-palestínsky konflikt,Izraelsko-palestinský konflikt,Izraeli-palesztin konfliktus
29074,Izraelské osobnosti,Izraelci,Izraeliek
29075,Šablóny Izraela,Izrael,Izraellel kapcsolatos sablonok
29076,Absolventi Uniwersytet Jagielloński,Absolventi Jagellonské univerzity,"Jagelló Egyetem hallgatói, oktatói"
29077,Jagelovci,Jagellonci,Jagelló-ház
29078,Jakutsko,Sacha,Jakutföld
29079,Prefektúra Jamaguči,Prefektura Jamaguči,Jamagucsi prefektúra
29080,Jamajka,Jamajka,Jamaica
29081,Geografia Jamajky,Geografie Jamajky,Jamaica földrajza
29082,Kultúra na Jamajke,Jamajská kultura,Jamaica kultúrája
29083,Šport na Jamajke,Sport na Jamajce,Jamaica sportélete
29084,Hudba na Jamajke,Jamajská hudba,Jamaica zenéje
29085,Jamajskí atléti,Jamajští atleti,Jamaicai atléták
29086,Jamajské hudobné skupiny,Jamajské hudební skupiny,Jamaicai együttesek
29087,Jamajskí bežci,Jamajští běžci,Jamaicai futók
29088,Futbal na Jamajke,Fotbal na Jamajce,Jamaicai labdarúgás
29089,Jamajskí olympijskí víťazi,Jamajští olympijští vítězové,Jamaicai olimpiai bajnokok
29090,Jamajskí bronzoví olympijskí medailisti,Jamajští bronzoví olympijští medailisté,Jamaicai olimpiai bronzérmesek
29091,Jamajskí strieborní olympijskí medailisti,Jamajští stříbrní olympijští medailisté,Jamaicai olimpiai ezüstérmesek
29092,Jamajskí olympijskí medailisti,Jamajští olympijští medailisté,Jamaicai olimpiai érmesek
29093,Jamajskí olympionici,Jamajští olympionici,Jamaicai olimpikonok
29094,Jamajskí športovci,Jamajští sportovci,Jamaicai sportolók
29095,Jamajskí hudobníci,Jamajští hudebníci,Jamaicai zenészek
29096,Jamajskí speváci,Jamajští zpěváci,Jamaicai énekesek
29097,Jamajské osobnosti,Jamajčané,Jamaicaiak
29098,Jamalskonenecký autonómny okruh,Jamalo-něnecký autonomní okruh,Jamali Nyenyecföld
29099,Filmy o Jamesovi Bondovi,Bondovky,James Bond-filmek
29100,Filmy režírované Jamesom Cameronom,Filmy Jamese Camerona,James Cameron-filmek
29101,Obrazy Jana van Eycka,Obrazy Jana van Eycka,Jan van Eyck festményei
29102,Jane Austenová,Jane Austenová,Jane Austen
29103,Janet Jacksonová,Janet Jackson,Janet Jackson
29104,Január,Leden,Január
29105,Japonsko,Japonsko,Japán
29106,Veľká cena Japonska,Grand Prix Japonska,Japán Formula-1 futamok
29107,Japonskí nositelia Nobelovej ceny,Japonští nositelé Nobelovy ceny,Japán Nobel-díjasok
29108,Japonské kreslené filmy,Japonské animované filmy,Japán animációs filmek
29109,Japonskí atléti,Japonští atleti,Japán atléták
29110,Japonsko na Olympijských hrách,Japonsko na olympijských hrách,Japán az olimpiai játékokon
29111,Japonskí džudisti,Japonští judisté,Japán cselgáncsozók
29112,Japonskí astronómovia,Japonští astronomové,Japán csillagászok
29113,Podniky v Japonsku,Japonské firmy,Japán cégek
29114,Japonskí diplomati,Diplomaté Japonska,Japán diplomaták
29115,Japonskí vysokoškolskí pedagógovia,Japonští vysokoškolští pedagogové,"Japán egyetemi, főiskolai oktatók"
29116,Japonské hudobné skupiny,Japonské hudební skupiny,Japán együttesek
29117,Japonskí maliari,Japonští malíři,Japán festők
29118,Japonské filmy,Japonské filmy,Japán filmek
29119,Kinematografia v Japonsku,Japonská kinematografie,Japán filmművészet
29120,Japonskí filmoví režiséri,Japonští režiséři,Japán filmrendezők
29121,Japonskí filozofi,Japonští filosofové,Japán filozófusok
29122,Japonskí fyzici,Japonští fyzici,Japán fizikusok
29123,Rieky v Japonsku,Řeky v Japonsku,Japán folyói
29124,Geografia Japonska,Geografie Japonska,Japán földrajza
29125,Ekonomika v Japonsku,Ekonomika Japonska,Japán gazdasága
29126,Japonskí gitaristi,Japonští kytaristé,Japán gitárosok
29127,Vojsko v Japonsku,Japonské vojenství,Japán hadereje
29128,Japonské vojnové lode,Japonské válečné lodě,Japán hadihajók
29129,Japonské námorníctvo,Japonské námořnictvo,Japán haditengerészet
29130,Japonské tanky,Japonské tanky,Japán harckocsik
29131,Japonské bojové umenia,Japonská bojová umění,Japán harcművészetek
29132,Vrchy v Japonsku,Hory a kopce v Japonsku,"Japán hegyei, hegységei"
29133,Vojny Japonska,Války Japonska,Japán háborúi
29134,Mosty v Japonsku,Mosty v Japonsku,Japán hídjai
29135,Japonské idolové skupiny,Japonské idolové skupiny,Japán idolegyüttesek
29136,Literatúra v Japonsku,Japonská literatura,Japán irodalom
29137,Hrady a zámky v Japonsku,Hrady v Japonsku,"Japán kastélyai, palotái"
29138,Japonské vojenské osobnosti,Japonští válečníci,Japán katonák
29139,Japonská kuchyňa,Japonská kuchyně,Japán konyhaművészet
29140,Kultúra v Japonsku,Japonská kultura,Japán kultúra
29141,Plemená psov z Japonska,Plemena psů z Japonska,Japán kutyafajták
29142,Japonskí chemici,Japonští chemici,Japán kémikusok
29143,Bilaterálne vzťahy Japonska,Bilaterální vztahy Japonska,Japán kétoldalú kapcsolatai
29144,Japonskí spisovatelia,Japonští spisovatelé,"Japán költők, írók"
29145,Administratívne členenie Japonska,Administrativní dělení Japonska,Japán közigazgatása
29146,Doprava v Japonsku,Doprava v Japonsku,Japán közlekedése
29147,Futbal v Japonsku,Fotbal v Japonsku,Japán labdarúgás
29148,Japonské futbalové kluby,Japonské fotbalové kluby,Japán labdarúgócsapatok
29149,Japonskí futbalisti,Japonští fotbalisté,Japán labdarúgók
29150,Predsedovia vlády Japonska,Premiéři Japonska,Japán miniszterelnökei
29151,Japonská mytológia,Japonská mytologie,Japán mitológia
29152,Masmédiá v Japonsku,Japonské sdělovací prostředky,Japán média
29153,Japonskí krasokorčuliari,Japonští krasobruslaři,Japán műkorcsolyázók
29154,Japonskí umelci,Japonští výtvarníci,Japán művészek
29155,Umenie v Japonsku,Umění v Japonsku,Japán művészete
29156,Japonsko-rjúkjúske jazyky,Japonsko-rjúkjúské jazyky,Japán nyelvek
29157,Vzdelávanie v Japonsku,Vzdělávání v Japonsku,Japán oktatásügy
29158,Japonskí olympijskí víťazi,Japonští olympijští vítězové,Japán olimpiai bajnokok
29159,Japonskí bronzoví olympijskí medailisti,Japonští bronzoví olympijští medailisté,Japán olimpiai bronzérmesek
29160,Japonskí olympijskí medailisti,Japonští olympijští medailisté,Japán olimpiai érmesek
29161,Japonskí olympionici,Japonští olympionici,Japán olimpikonok
29162,Japonskí letci,Japonští letci,Japán pilóták
29163,Politika v Japonsku,Japonská politika,Japán politikai élete
29164,Japonskí politici,Japonští politici,Japán politikusok
29165,Prefektúry v Japonsku,Japonské prefektury,Japán prefektúrái
29166,Japonské punkrockové hudobné skupiny,Japonské punkové skupiny,Japán punkegyüttesek
29167,Politické strany v Japonsku,Politické strany v Japonsku,Japán pártok
29168,Japonské romány,Japonské romány,Japán regények
29169,Japonské lietadlové lode,Japonské letadlové lodě,Japán repülőgép-hordozók
29170,Letiská v Japonsku,Letiště v Japonsku,Japán repülőterei
29171,Japonské torpédoborce,Japonské torpédoborce,Japán rombolók
29172,Japonskí športovci,Japonští sportovci,Japán sportolók
29173,Šport v Japonsku,Sport v Japonsku,Japán sportélete
29174,Ostrovy Japonska,Ostrovy Japonska,Japán szigetei
29175,Seijú,Japonští dabéři,Japán szinkronszínészek
29176,Jazerá v Japonsku,Jezera v Japonsku,Japán tavai
29177,Mestá v Japonsku,Města v Japonsku,Japán települései
29178,Japonské televízne seriály,Japonské televizní seriály,Japán televíziós sorozatok
29179,Japonskí tenisti,Japonští tenisté,Japán teniszezők
29180,Veda a technika v Japonsku,Věda a technika v Japonsku,Japán tudományos élete
29181,Japonskí vedci,Japonští vědci,Japán tudósok
29182,Spoločnosť v Japonsku,Japonská společnost,Japán társadalma
29183,Dejiny Japonska,Dějiny Japonska,Japán történelme
29184,Japonské klany,Japonské klany,Japán történelmi családok
29185,Náboženstvo v Japonsku,Náboženství v Japonsku,Japán vallási élete
29186,Železnica v Japonsku,Železniční doprava v Japonsku,Japán vasúti közlekedése
29187,Lokality Svetového dedičstva v Japonsku,Světové dědictví (Japonsko),Japán világörökségi helyszínei
29188,Hudba v Japonsku,Japonská hudba,Japán zene
29189,Japonské hudobné albumy,Japonská hudební alba,Japán zenei albumok
29190,Japonskí hudobní skladatelia,Japonští hudební skladatelé,Japán zeneszerzők
29191,Japonskí hudobníci,Japonští hudebníci,Japán zenészek
29192,Japonskí speváci,Japonští zpěváci,Japán énekesek
29193,Stavby v Japonsku,Stavby v Japonsku,Japán építményei
29194,Japonskí architekti,Japonští architekti,Japán építészek
29195,Architektúra v Japonsku,Japonská architektura,Japán építészet
29196,Japonskí podnikatelia,Japonští podnikatelé,Japán üzletemberek
29197,Japonskí kozmonauti,Japonští kosmonauti,Japán űrhajósok
29198,Kozmonautika v Japonsku,Kosmonautika Japonska,Japán űrkutatása
29199,Osobnosti USA japonského pôvodu,Američané japonského původu,Japán-amerikaiak
29200,Japonské videohry,Japonské videohry,Japánban fejlesztett videójátékok
29201,Šablóny Japonska,Japonsko,Japánnal kapcsolatos sablonok
29202,Japonské osobnosti,Japonci,Japánok
29203,Jaroslavlianska oblasť,Jaroslavská oblast,Jaroszlavli terület
29204,JavaScript knižnice,Javascriptové knihovny,JavaScript könyvtárak
29205,Severný ľadový oceán,Severní ledový oceán,Jeges-tenger
29206,Jehovovi svedkovia,Svědkové Jehovovi,Jehova tanúi
29207,Jekaterinburg,Jekatěrinburg,Jekatyerinburg
29208,Kozmické lety,Kosmické lety,Jelenleg zajló űrrepülések
29209,Symboly,Symboly,Jelképek
29210,Kostýmoví výtvarníci,Kostýmní výtvarníci,Jelmeztervezők
29211,Značkovacie jazyky,Značkovací jazyky,Jelölőnyelvek
29212,Geografia Jemenu,Geografie Jemenu,Jemen földrajza
29213,Politika v Jemene,Jemenská politika,Jemen politikai élete
29214,Šport v Jemene,Sport v Jemenu,Jemen sportélete
29215,Lokality Svetového dedičstva v Jemene,Světové dědictví (Jemen),Jemen világörökségi helyszínei
29216,Jemenskí politici,Jemenští politici,Jemeni politikusok
29217,Jemenské osobnosti,Jemenci,Jemeniek
29218,Jennifer Lopezová,Jennifer Lopez,Jennifer Lopez
29219,Jerevan,Jerevan,Jereván
29220,Osobnosti z Jerevanu,Lidé z Jerevanu,Jerevániak
29221,Jeruzalem,Jeruzalém,Jeruzsálem
29222,Jeruzalemskí králi,Jeruzalémští králové,Jeruzsálem királyai
29223,Doprava v Jeruzaleme,Doprava v Jeruzalémě,Jeruzsálem közlekedése
29224,Dejiny Jeruzalema,Dějiny Jeruzaléma,Jeruzsálem történelme
29225,Stavby v Jeruzaleme,Stavby v Jeruzalémě,Jeruzsálem építményei
29226,Jezuiti,Jezuité,Jezsuita szerzetesek
29227,Spoločnosť Ježišova,Tovaryšstvo Ježíšovo,Jezsuiták
29228,Literatúra v jidiš,Literatura jidiš,Jiddis irodalom
29229,Jiménezovci,Jiménezové,Jimeno-ház
29230,Albumy Jimiho Hendrixa,Alba Jimiho Hendrixe,Jimi Hendrix-albumok
29231,Piesne Jimiho Hendrixa,Písně Jimi Hendrixe,Jimi Hendrix-dalok
29232,Filmy režírované Jiřím Menzlom,Filmy Jiřího Menzela,Jiří Menzel-filmek
29233,Jodidy,Jodidy (chemie),Jodidok
29234,Albumy Joa Satrianiho,Alba Joe Satrianiho,Joe Satriani-albumok
29235,Právo,Právo,Jog
29236,Politici Práva a spravodlivosti,Členové strany Právo a spravedlnost,Jog és Igazságosság-tagok
29237,Právo podľa štátu,Právo podle zemí,Jogrend országok szerint
29238,Dejiny práva,Právní dějiny,Jogtörténet
29239,Právnici,Právníci,Jogászok
29240,Právnici podľa štátu,Právníci podle zemí,Jogászok nemzetiség szerint
29241,Filmy režírované Johnom Carpenterom,Filmy Johna Carpentera,John Carpenter-filmek
29242,Albumy Johna Lennona,Alba Johna Lennona,John Lennon-albumok
29243,Piesne Johna Lennona,Písně Johna Lennona,John Lennon-dalok
29244,Jordánsko,Jordánsko,Jordánia
29245,Rieky v Jordánsku,Řeky v Jordánsku,Jordánia folyói
29246,Geografia Jordánska,Geografie Jordánska,Jordánia földrajza
29247,Šport v Jordánsku,Sport v Jordánsku,Jordánia sportélete
29248,Jazerá v Jordánsku,Jezera v Jordánsku,Jordánia tavai
29249,Lokality Svetového dedičstva v Jordánsku,Světové dědictví (Jordánsko),Jordánia világörökségi helyszínei
29250,Jordánski politici,Jordánští politici,Jordániai politikusok
29251,Jordánske osobnosti,Jordánci,Jordániaiak
29252,Hudobné kompozície Josepha Haydna,Skladby Josepha Haydna,Joseph Haydn művei
29253,Judaizmus,Judaismus,Judaizmus
29254,Albumy Judas Priest,Alba Judas Priest,Judas Priest-albumok
29255,Juhoslovanské filmy,Jugoslávské filmy,Jugoszláv filmek
29256,Futbal v Juhoslávii,Fotbal v Jugoslávii,Jugoszláv labdarúgás
29257,Juhoslovanskí futbaloví tréneri,Jugoslávští fotbaloví trenéři,Jugoszláv labdarúgóedzők
29258,Juhoslovanskí futbalisti,Jugoslávští fotbalisté,Jugoszláv labdarúgók
29259,Juhoslovanskí olympionici,Jugoslávští olympionici,Jugoszláv olimpikonok
29260,Juhoslovanskí šachisti,Jugoslávští šachisté,Jugoszláv sakkozók
29261,Juhoslovanskí športovci,Jugoslávští sportovci,Jugoszláv sportolók
29262,Juhoslovanskí tenisti,Jugoslávští tenisté,Jugoszláv teniszezők
29263,Juhoslávia,Jugoslávie,Jugoszlávia
29264,Šport v Juhoslávii,Sport v Jugoslávii,Jugoszlávia sportélete
29265,Dejiny Juhoslávie,Dějiny Jugoslávie,Jugoszlávia történelme
29266,Juhoslovanskí politici,Jugoslávští politici,Jugoszláviai politikusok
29267,Javor,Javor,Juharok
29268,Knihy Julesa Verna,Romány Julese Verna,Jules Verne művei
29269,Juniorské majstrovstvá sveta v atletike,Mistrovství světa juniorů v atletice,Junior atlétikai világbajnokságok
29270,Mesiace Jupitera,Měsíce Jupiteru,Jupiter-holdak
29271,Jura (departement),Jura (departement),Jura
29272,Jurské dinosaury,Dinosauři žijící v juře,Jura időszaki dinoszauruszok
29273,Obce v departemente Jura,Obce v departementu Jura,Jura megye települései
29274,Piesne Justina Timberlaka,Písně Justina Timberlakea,Justin Timberlake-dalok
29275,Osobnosti z Jacoviec,Lidé z Jacovců,Jáciak
29276,Dopravné prostriedky,Dopravní prostředky,Járművek
29277,Epidémie,Epidemie,Járványok
29278,Jasovsko-veľkokumánsko-solnocká župa,Jász-Nagykun-Szolnok,Jász-Nagykun-Szolnok megye
29279,Teória hier,Teorie her,Játékelmélet
29280,Herné konzoly,Herní konzole,Játékkonzolok
29281,Hry,Hry,Játékok
29282,Hračky,Hračky,Játékszerek
29283,Arkády,Arkády,Játéktermi játékok
29284,Ľad,Led,Jég
29285,Ľadový hokej,Lední hokej,Jégkorong
29286,Ľadový hokej na Zimných olympijských hrách 2002,Lední hokej na Zimních olympijských hrách 2002,Jégkorong a 2002. évi téli olimpiai játékokon
29287,Ľadový hokej na Zimných olympijských hrách 2006,Lední hokej na Zimních olympijských hrách 2006,Jégkorong a 2006. évi téli olimpiai játékokon
29288,Ľadový hokej na Zimných olympijských hrách 2010,Lední hokej na Zimních olympijských hrách 2010,Jégkorong a 2010. évi téli olimpiai játékokon
29289,Ľadový hokej na Zimných olympijských hrách 2014,Lední hokej na Zimních olympijských hrách 2014,Jégkorong a 2014. évi téli olimpiai játékokon
29290,Ľadový hokej na Zimných olympijských hrách 2018,Lední hokej na Zimních olympijských hrách 2018,Jégkorong a 2018. évi téli olimpiai játékokon
29291,Ľadový hokej na Zimných olympijských hrách 2022,Lední hokej na Zimních olympijských hrách 2022,Jégkorong a 2022. évi téli olimpiai játékokon
29292,Ľadový hokej v USA,Lední hokej v USA,Jégkorong az Amerikai Egyesült Államokban
29293,Ľadový hokej na Olympijských hrách,Lední hokej na olympijských hrách,Jégkorong az olimpiai játékokon
29294,Hokejové šablóny,Hokejové,Jégkorong sablonok
29295,Hokejové zoznamy,Hokejové seznamy,Jégkorong témájú listák
29296,Hokejoví rozhodcovia,Hokejoví rozhodčí,Jégkorong-játékvezetők
29297,Majstrovstvá sveta v ľadovom hokeji,Mistrovství světa v ledním hokeji,Jégkorong-világbajnokságok
29298,Národné hokejové mužstvá,Hokejové reprezentace,Jégkorong-válogatottak
29299,Súťaže v ľadovom hokeji,Soutěže v ledním hokeji,Jégkorongbajnokságok
29300,Hokejové kluby,Kluby ledního hokeje,Jégkorongcsapatok
29301,Hokejoví tréneri,Hokejoví trenéři,Jégkorongedzők
29302,Hokejové ocenenia,Ocenění v ledním hokeji,Jégkoronggal kapcsolatos díjak
29303,Hokejisti,Lední hokejisté,Jégkorongozók
29304,Hokejisti podľa klubu,Lední hokejisté podle klubů,Jégkorongozók klubok szerint
29305,Rybárikovité,Ledňáčkovití,Jégmadárfélék
29306,Osobnosti z Jeny,Lidé z Jeny,Jénaiak
29307,Ježiš Kristus,Ježíš Kristus,Jézus
29308,Priatelia (seriál),Přátelé,Jóbarátok
29309,Zlúčeniny jódu,Sloučeniny jodu,Jódvegyületek
29310,Joga,Jóga,Jóga
29311,Jogíni,Jogíni,Jógik
29312,Iónske more,Jónské moře,Jón-tenger
29313,Veštenie,Věštění,Jóslás
29314,Budúcnosť,Budoucnost,Jövő
29315,Budúce udalosti,Budoucí události,Jövőbeli események
29316,Futurológia,Futurologie,Jövőkutatás
29317,Júlske Alpy,Julské Alpy,Júliai-Alpok
29318,Júl,Červenec,Július
29319,Jún,Červen,Június
